returns
-1200.0
-1200.0
-1200.0
-623.5
-1200.0
-242.7
-1200.0
-1200.0
-733.9
-1200.0
-311.8
-196.2
-193.3
-57.4
-1200.0
-291.1
-1200.0
-840.3
-1200.0
-368.2
-1200.0
-196.9
-239.5
-640.9
-1200.0
-302.7
-147.7
-160.6
-185.2
-509.4
-640.9
-295.0
-625.1
-292.1
-132.3
-1200.0
-200.0
-1200.0
-470.8
-192.3
-310.2
-296.5
-555.3
-225.3
-702.8
-176.7
-274.7
-209.0
-1200.0
-1200.0
-1200.0
-857.9
-1200.0
-1200.0
-262.6
-1200.0
-807.2
-324.3
-374.2
-1200.0
-1200.0
