returns
-1200.0
-1200.0
-1200.0
-1200.0
-609.62
-717.92
-1200.0
-188.54
-192.42
-209.86
-212.16
-193.22
-1200.0
-1200.0
-1200.0
-1200.0
-176.8
-1200.0
-207.96
-242.14
-156.9
-244.92
-1200.0
-237.36
-216.3
-1200.0
-204.44
-235.7
-1200.0
-219.32
-792.9
